card_idx,card_badge,card_label,card_l3,existing_refs,card_tags,paper_rank,paper_title,paper_year,paper_type,paper_url,paper_doi,paper_score,paper_citations,match_score,match_tags
11,PHYSBENCH-REF-0097,페르소나 제약 실패 (Embodiment-persona constraint failure),의도적·악의적 피해(Purposeful / Malicious Harm),1,control_validation;humanoid;reliability,100,Multi-contact planning and control for humanoid robots: Design and validation of a complete framework,2023,paper,https://doi.org/10.1016/j.robot.2023.104448,10.1016/j.robot.2023.104448,101.966,19,0.4889,control_validation;humanoid
11,PHYSBENCH-REF-0097,페르소나 제약 실패 (Embodiment-persona constraint failure),의도적·악의적 피해(Purposeful / Malicious Harm),1,control_validation;humanoid;reliability,13,A survey of uncertainty in deep neural networks,2023,paper,https://doi.org/10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,119.867,839,0.369,reliability
12,PHYSRISK-REF-0028,프롬프트→행동 주입 공격 (Prompt-to-act injection),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security;agent_llm,16,"Smart Contract Privacy Protection Using AI in Cyber-Physical Systems: Tools, Techniques and Challenges",2020,paper,https://openalex.org/W3003326204,10.1109/access.2020.2970576,117.799,253,0.3491,cps_security
12,PHYSRISK-REF-0028,프롬프트→행동 주입 공격 (Prompt-to-act injection),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security;agent_llm,73,On the Opportunities and Risks of Foundation Models,2021,paper,http://arxiv.org/abs/2108.07258,10.48550/arxiv.2108.07258,104.6,2180,0.3487,agent_llm
13,PHYSRISK-REF-0043,조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security;manipulation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3553,manipulation
13,PHYSRISK-REF-0043,조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security;manipulation,43,3D printing for soft robotics – a review,2018,paper,https://openalex.org/W2792758432,10.1080/14686996.2018.1431862,109.303,418,0.3546,manipulation
14,PHYSRISK-REF-0045,물리적 침입 및 절도 (Autonomous physical intrusion and theft),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security,16,"Smart Contract Privacy Protection Using AI in Cyber-Physical Systems: Tools, Techniques and Challenges",2020,paper,https://openalex.org/W3003326204,10.1109/access.2020.2970576,117.799,253,0.3506,cps_security
14,PHYSRISK-REF-0045,물리적 침입 및 절도 (Autonomous physical intrusion and theft),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security,10,Explainable Artificial Intelligence (XAI) for Intrusion Detection and Mitigation in Intelligent Connected Vehicles: A Review,2023,paper,https://openalex.org/W4317207036,10.3390/app13031252,120.633,170,0.3468,cps_security
15,PHYSRISK-REF-0046,표적 추적 및 물리적 괴롭힘 (Targeted following and physical harassment),의도적·악의적 피해(Purposeful / Malicious Harm),1,manipulation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3657,manipulation
15,PHYSRISK-REF-0046,표적 추적 및 물리적 괴롭힘 (Targeted following and physical harassment),의도적·악의적 피해(Purposeful / Malicious Harm),1,manipulation,43,3D printing for soft robotics – a review,2018,paper,https://openalex.org/W2792758432,10.1080/14686996.2018.1431862,109.303,418,0.3535,manipulation
16,PHYSRISK-REF-0030,로봇의 무기화 오남용 (Robot-as-weapon misuse),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security;humanoid;privacy;manipulation,16,"Smart Contract Privacy Protection Using AI in Cyber-Physical Systems: Tools, Techniques and Challenges",2020,paper,https://openalex.org/W3003326204,10.1109/access.2020.2970576,117.799,253,0.5353,cps_security;privacy
16,PHYSRISK-REF-0030,로봇의 무기화 오남용 (Robot-as-weapon misuse),의도적·악의적 피해(Purposeful / Malicious Harm),2,cps_security;humanoid;privacy;manipulation,133,Cooperative Multiagent Deep Reinforcement Learning for Reliable Surveillance via Autonomous Multi-UAV Control,2022,paper,https://openalex.org/W4205161126,10.1109/tii.2022.3143175,99.935,227,0.5321,manipulation;privacy
17,PHYSBENCH-REF-0003,물리적 위험 개입 실패 (Physical danger intervention failure),우발적 피해(Accidental Harm),1,reliability;perception,13,A survey of uncertainty in deep neural networks,2023,paper,https://doi.org/10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,119.867,839,0.3671,reliability
17,PHYSBENCH-REF-0003,물리적 위험 개입 실패 (Physical danger intervention failure),우발적 피해(Accidental Harm),1,reliability;perception,111,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion",2023,paper,https://doi.org/10.1016/j.inffus.2023.03.008,10.1016/j.inffus.2023.03.008,101.09,407,0.3517,perception
19,PHYSBENCH-REF-0012,복합 물리적 제약 위반 (Compositional physical constraint violation),우발적 피해(Accidental Harm),1,control_validation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3502,control_validation
20,PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),우발적 피해(Accidental Harm),2,control_validation;manipulation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.6348,control_validation;manipulation
20,PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),우발적 피해(Accidental Harm),2,control_validation;manipulation,100,Multi-contact planning and control for humanoid robots: Design and validation of a complete framework,2023,paper,https://doi.org/10.1016/j.robot.2023.104448,10.1016/j.robot.2023.104448,101.966,19,0.4738,control_validation;manipulation
21,PHYSBENCH-REF-0035,제약 비용 과소평가 (Constraint-cost underestimation),우발적 피해(Accidental Harm),1,control_validation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3629,control_validation
22,PHYSBENCH-REF-0039,물리적 상호작용 안전 공백 (Physical interaction safety control gap),우발적 피해(Accidental Harm),1,agent_llm;hrc,200,Integrating Belief-Desire-Intention agents with large language models for reliable human–robot interaction and explainable Artificial Intelligence,2024,paper,https://doi.org/10.1016/j.engappai.2024.109771,10.1016/j.engappai.2024.109771,96.408,38,0.4879,agent_llm;hrc
22,PHYSBENCH-REF-0039,물리적 상호작용 안전 공백 (Physical interaction safety control gap),우발적 피해(Accidental Harm),1,agent_llm;hrc,195,Human–robot collaborative visual inspection with Large Language Models,2025,paper,https://doi.org/10.1016/j.rcim.2025.103154,10.1016/j.rcim.2025.103154,96.636,7,0.4753,agent_llm;hrc
23,PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),우발적 피해(Accidental Harm),2,collision;control_validation;manipulation;reliability,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.7129,collision;control_validation;manipulation
23,PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),우발적 피해(Accidental Harm),2,collision;control_validation;manipulation;reliability,6,A Survey of Algorithms for Black-Box Safety Validation of Cyber-Physical Systems,2021,paper,https://www.jair.org/index.php/jair/article/view/12716,10.1613/JAIR.1.12716,124.883,106,0.5127,collision;control_validation
24,PHYSBENCH-REF-0048,위험 작업 계획 실패 (Hazardous task planning failure),우발적 피해(Accidental Harm),2,control_validation;agent_llm;reliability,13,A survey of uncertainty in deep neural networks,2023,paper,https://doi.org/10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,119.867,839,0.3663,reliability
24,PHYSBENCH-REF-0048,위험 작업 계획 실패 (Hazardous task planning failure),우발적 피해(Accidental Harm),2,control_validation;agent_llm;reliability,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3585,control_validation
25,PHYSBENCH-REF-0050,암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),우발적 피해(Accidental Harm),2,agent_llm,73,On the Opportunities and Risks of Foundation Models,2021,paper,http://arxiv.org/abs/2108.07258,10.48550/arxiv.2108.07258,104.6,2180,0.3508,agent_llm
25,PHYSBENCH-REF-0050,암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),우발적 피해(Accidental Harm),2,agent_llm,21,Large language models for chemistry robotics,2023,paper,https://doi.org/10.1007/s10514-023-10136-2,10.1007/s10514-023-10136-2,116.161,98,0.3434,agent_llm
26,PHYSBENCH-REF-0052,피지컬 AI 안전 인식 실패 (Embodied safety awareness failure),우발적 피해(Accidental Harm),1,reliability;agent_llm;perception,200,Integrating Belief-Desire-Intention agents with large language models for reliable human–robot interaction and explainable Artificial Intelligence,2024,paper,https://doi.org/10.1016/j.engappai.2024.109771,10.1016/j.engappai.2024.109771,96.408,38,0.495,agent_llm;perception
26,PHYSBENCH-REF-0052,피지컬 AI 안전 인식 실패 (Embodied safety awareness failure),우발적 피해(Accidental Harm),1,reliability;agent_llm;perception,13,A survey of uncertainty in deep neural networks,2023,paper,https://doi.org/10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,119.867,839,0.3634,reliability
27,PHYSBENCH-REF-0054,안전-성능 균형 실패 (Safety-performance trade-off failure),우발적 피해(Accidental Harm),1,collision;control_validation;manipulation;reliability,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.7178,collision;control_validation;manipulation
27,PHYSBENCH-REF-0054,안전-성능 균형 실패 (Safety-performance trade-off failure),우발적 피해(Accidental Harm),1,collision;control_validation;manipulation;reliability,6,A Survey of Algorithms for Black-Box Safety Validation of Cyber-Physical Systems,2021,paper,https://www.jair.org/index.php/jair/article/view/12716,10.1613/JAIR.1.12716,124.883,106,0.5248,collision;control_validation
29,PHYSBENCH-REF-0058,로봇 형태 전이 리스크 (Robot morphology transfer risk),우발적 피해(Accidental Harm),1,manipulation,152,Force Tracking Impedance Control of Robot Manipulators Under Unknown Environment,2004,paper,https://openalex.org/W2169440744,10.1109/tcst.2004.824320,98.756,471,0.3653,manipulation
29,PHYSBENCH-REF-0058,로봇 형태 전이 리스크 (Robot morphology transfer risk),우발적 피해(Accidental Harm),1,manipulation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3593,manipulation
30,PHYSBENCH-REF-0064,인간 시연 전이 모호성 (Human demonstration transfer ambiguity),우발적 피해(Accidental Harm),1,control_validation;hrc,22,On infusing reachability-based safety assurance within planning frameworks for human–robot vehicle interactions,2020,paper,https://doi.org/10.1177/0278364920950795,10.1177/0278364920950795,115.946,93,0.5204,control_validation;hrc
30,PHYSBENCH-REF-0064,인간 시연 전이 모호성 (Human demonstration transfer ambiguity),우발적 피해(Accidental Harm),1,control_validation;hrc,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3594,control_validation
32,PHYSBENCH-REF-0071,휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),우발적 피해(Accidental Harm),1,humanoid;digital_twin;trust_ethics;reliability,1,A deep learning-enhanced Digital Twin framework for improving safety and reliability in human-robot collaborative manufacturing,2024,paper,https://doi.org/10.1016/j.rcim.2023.102608,10.1016/j.rcim.2023.102608,133.676,110,0.6895,digital_twin;reliability;trust_ethics
32,PHYSBENCH-REF-0071,휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),우발적 피해(Accidental Harm),1,humanoid;digital_twin;trust_ethics;reliability,146,The use of digital twins in healthcare: socio-ethical benefits and socio-ethical risks,2021,paper,https://doi.org/10.1186/s40504-021-00113-x,10.1186/s40504-021-00113-x,99.163,184,0.4982,digital_twin;trust_ethics
33,PHYSBENCH-REF-0076,인간 모방 분포 이동 (Human-mimicking distribution shift),우발적 피해(Accidental Harm),1,humanoid;hrc,9,A Survey of Robot Learning Strategies for Human-Robot Collaboration in Industrial Settings,2022,paper,https://doi.org/10.1016/j.rcim.2021.102231,10.1016/j.rcim.2021.102231,120.638,264,0.3666,hrc
33,PHYSBENCH-REF-0076,인간 모방 분포 이동 (Human-mimicking distribution shift),우발적 피해(Accidental Harm),1,humanoid;hrc,5,Perceived safety in physical human-robot interaction-A survey,2022,paper,https://doi.org/10.1016/j.robot.2022.104047,10.1016/j.robot.2022.104047,125.932,121,0.3544,hrc
34,PHYSBENCH-REF-0077,모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),우발적 피해(Accidental Harm),1,control_validation;manipulation;humanoid;reliability;hrc,100,Multi-contact planning and control for humanoid robots: Design and validation of a complete framework,2023,paper,https://doi.org/10.1016/j.robot.2023.104448,10.1016/j.robot.2023.104448,101.966,19,0.6875,control_validation;humanoid;manipulation
34,PHYSBENCH-REF-0077,모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),우발적 피해(Accidental Harm),1,control_validation;manipulation;humanoid;reliability;hrc,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.5554,control_validation;manipulation
35,PHYSBENCH-REF-0081,휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),우발적 피해(Accidental Harm),2,digital_twin;manipulation;humanoid,100,Multi-contact planning and control for humanoid robots: Design and validation of a complete framework,2023,paper,https://doi.org/10.1016/j.robot.2023.104448,10.1016/j.robot.2023.104448,101.966,19,0.4962,humanoid;manipulation
35,PHYSBENCH-REF-0081,휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),우발적 피해(Accidental Harm),2,digital_twin;manipulation;humanoid,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3737,manipulation
37,PHYSRISK-REF-0019,장기 계획 오차 누적 (Long-horizon error accumulation),우발적 피해(Accidental Harm),1,perception,98,A High-Speed Sliding-Mode Observer for the Sensorless Speed Control of a PMSM,2010,paper,https://openalex.org/W2169519990,10.1109/tie.2010.2098357,102.0,707,0.3564,perception
37,PHYSRISK-REF-0019,장기 계획 오차 누적 (Long-horizon error accumulation),우발적 피해(Accidental Harm),1,perception,111,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion",2023,paper,https://doi.org/10.1016/j.inffus.2023.03.008,10.1016/j.inffus.2023.03.008,101.09,407,0.3505,perception
38,PHYSBENCH-REF-0040,기반 모델 고유의 리스크 (Foundation-model-specific robot risk),우발적 피해(Accidental Harm),1,agent_llm;reliability,73,On the Opportunities and Risks of Foundation Models,2021,paper,http://arxiv.org/abs/2108.07258,10.48550/arxiv.2108.07258,104.6,2180,0.4171,agent_llm
38,PHYSBENCH-REF-0040,기반 모델 고유의 리스크 (Foundation-model-specific robot risk),우발적 피해(Accidental Harm),1,agent_llm;reliability,13,A survey of uncertainty in deep neural networks,2023,paper,https://doi.org/10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,119.867,839,0.3763,reliability
39,PHYSBENCH-REF-0005,그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),로봇 제어(Robot Control),2,control_validation;manipulation;agent_llm,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.5446,control_validation;manipulation
39,PHYSBENCH-REF-0005,그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),로봇 제어(Robot Control),2,control_validation;manipulation;agent_llm,100,Multi-contact planning and control for humanoid robots: Design and validation of a complete framework,2023,paper,https://doi.org/10.1016/j.robot.2023.104448,10.1016/j.robot.2023.104448,101.966,19,0.4954,control_validation;manipulation
40,PHYSBENCH-REF-0006,재료 특성 제약 위반 (Material property constraint violation),로봇 제어(Robot Control),1,control_validation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.37,control_validation
41,PHYSBENCH-REF-0008,열·온도 제약 위반 (Thermal constraint violation),로봇 제어(Robot Control),1,control_validation;hrc,22,On infusing reachability-based safety assurance within planning frameworks for human–robot vehicle interactions,2020,paper,https://doi.org/10.1177/0278364920950795,10.1177/0278364920950795,115.946,93,0.503,control_validation;hrc
41,PHYSBENCH-REF-0008,열·온도 제약 위반 (Thermal constraint violation),로봇 제어(Robot Control),1,control_validation;hrc,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3647,control_validation
42,PHYSBENCH-REF-0009,기구학·도달 범위 제약 위반 (Kinematics and reach constraint violation),로봇 제어(Robot Control),1,collision;control_validation;reliability,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.5429,collision;control_validation
42,PHYSBENCH-REF-0009,기구학·도달 범위 제약 위반 (Kinematics and reach constraint violation),로봇 제어(Robot Control),1,collision;control_validation;reliability,6,A Survey of Algorithms for Black-Box Safety Validation of Cyber-Physical Systems,2021,paper,https://www.jair.org/index.php/jair/article/view/12716,10.1613/JAIR.1.12716,124.883,106,0.5125,collision;control_validation
43,PHYSBENCH-REF-0010,다중 암 협조 제약 위반 (Multi-arm coordination constraint violation),로봇 제어(Robot Control),1,control_validation;hrc,22,On infusing reachability-based safety assurance within planning frameworks for human–robot vehicle interactions,2020,paper,https://doi.org/10.1177/0278364920950795,10.1177/0278364920950795,115.946,93,0.5106,control_validation;hrc
43,PHYSBENCH-REF-0010,다중 암 협조 제약 위반 (Multi-arm coordination constraint violation),로봇 제어(Robot Control),1,control_validation;hrc,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.365,control_validation
44,PHYSBENCH-REF-0011,운용 프로토콜 위반 (Operational protocol violation),로봇 제어(Robot Control),1,control_validation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3693,control_validation
44,PHYSBENCH-REF-0011,운용 프로토콜 위반 (Operational protocol violation),로봇 제어(Robot Control),1,control_validation,6,A Survey of Algorithms for Black-Box Safety Validation of Cyber-Physical Systems,2021,paper,https://www.jair.org/index.php/jair/article/view/12716,10.1613/JAIR.1.12716,124.883,106,0.3412,control_validation
45,PHYSBENCH-REF-0013,탑재 하중 제약 위반 (Payload constraint violation),로봇 제어(Robot Control),1,control_validation,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3681,control_validation
46,PHYSBENCH-REF-0014,작업 공간 한계 위반 (Workspace limit violation),로봇 제어(Robot Control),1,hrc;agent_llm,200,Integrating Belief-Desire-Intention agents with large language models for reliable human–robot interaction and explainable Artificial Intelligence,2024,paper,https://doi.org/10.1016/j.engappai.2024.109771,10.1016/j.engappai.2024.109771,96.408,38,0.4718,agent_llm;hrc
46,PHYSBENCH-REF-0014,작업 공간 한계 위반 (Workspace limit violation),로봇 제어(Robot Control),1,hrc;agent_llm,195,Human–robot collaborative visual inspection with Large Language Models,2025,paper,https://doi.org/10.1016/j.rcim.2025.103154,10.1016/j.rcim.2025.103154,96.636,7,0.4704,agent_llm;hrc
47,PHYSBENCH-REF-0015,허용 대상물 제약 위반 (Permissible object constraint violation),로봇 제어(Robot Control),1,control_validation;manipulation;trust_ethics,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.5462,control_validation;manipulation
47,PHYSBENCH-REF-0015,허용 대상물 제약 위반 (Permissible object constraint violation),로봇 제어(Robot Control),1,control_validation;manipulation;trust_ethics,100,Multi-contact planning and control for humanoid robots: Design and validation of a complete framework,2023,paper,https://doi.org/10.1016/j.robot.2023.104448,10.1016/j.robot.2023.104448,101.966,19,0.4784,control_validation;manipulation
48,PHYSBENCH-REF-0025,임계 이격 거리 위반 (Critical separation-distance violation),로봇 제어(Robot Control),3,hrc;collision,46,Safety assurance mechanisms of collaborative robotic systems in manufacturing,2021,paper,https://doi.org/10.1016/j.rcim.2020.102022,10.1016/j.rcim.2020.102022,108.966,201,0.5303,collision;hrc
49,PHYSBENCH-REF-0026,위험 도구 작업 공간 침입 (Hazardous-tool workspace intrusion),로봇 제어(Robot Control),1,cps_security;hrc,9,A Survey of Robot Learning Strategies for Human-Robot Collaboration in Industrial Settings,2022,paper,https://doi.org/10.1016/j.rcim.2021.102231,10.1016/j.rcim.2021.102231,120.638,264,0.362,hrc
49,PHYSBENCH-REF-0026,위험 도구 작업 공간 침입 (Hazardous-tool workspace intrusion),로봇 제어(Robot Control),1,cps_security;hrc,8,An integrated mixed reality system for safety-aware human-robot collaboration using deep learning and digital twin generation,2022,paper,https://doi.org/10.1016/j.rcim.2021.102258,10.1016/j.rcim.2021.102258,122.176,182,0.3407,hrc
