card_badge,card_label,card_l3,existing_refs,paper_rank,paper_title,paper_year,paper_type,paper_url,paper_doi,paper_score,paper_citations,match_score,match_tags
PHYSRISK-REF-0043,조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),의도적·악의적 피해(Purposeful / Malicious Harm),2,111,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion",2023,paper,https://doi.org/10.1016/j.inffus.2023.03.008,10.1016/j.inffus.2023.03.008,101.09,407,0.4243,cps_security;manipulation
PHYSRISK-REF-0045,물리적 침입 및 절도 (Autonomous physical intrusion and theft),의도적·악의적 피해(Purposeful / Malicious Harm),2,16,"Smart Contract Privacy Protection Using AI in Cyber-Physical Systems: Tools, Techniques and Challenges",2020,paper,https://openalex.org/W3003326204,10.1109/access.2020.2970576,117.799,253,0.5383,cps_security;manipulation;privacy
PHYSRISK-REF-0045,물리적 침입 및 절도 (Autonomous physical intrusion and theft),의도적·악의적 피해(Purposeful / Malicious Harm),2,170,Ethics of artificial intelligence and robotics,2020,paper,https://research.tue.nl/en/publications/3aa734f3-c4a0-4132-b514-cb84b4b0bb91,,97.595,325,0.5319,cps_security;manipulation;privacy
PHYSRISK-REF-0046,표적 추적 및 물리적 괴롭힘 (Targeted following and physical harassment),의도적·악의적 피해(Purposeful / Malicious Harm),1,17,"Artificial intelligence, machine learning and deep learning in advanced robotics, a review",2023,paper,https://doi.org/10.1016/j.cogr.2023.04.001,10.1016/j.cogr.2023.04.001,117.6,1029,0.3282,manipulation
PHYSRISK-REF-0046,표적 추적 및 물리적 괴롭힘 (Targeted following and physical harassment),의도적·악의적 피해(Purposeful / Malicious Harm),1,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3245,manipulation
PHYSRISK-REF-0030,로봇의 무기화 오남용 (Robot-as-weapon misuse),의도적·악의적 피해(Purposeful / Malicious Harm),2,34,From high-touch to high-tech: COVID-19 drives robotics adoption,2020,paper,https://doi.org/10.1080/14616688.2020.1762118,10.1080/14616688.2020.1762118,111.277,577,0.5568,cps_security;humanoid;privacy
PHYSRISK-REF-0030,로봇의 무기화 오남용 (Robot-as-weapon misuse),의도적·악의적 피해(Purposeful / Malicious Harm),2,16,"Smart Contract Privacy Protection Using AI in Cyber-Physical Systems: Tools, Techniques and Challenges",2020,paper,https://openalex.org/W3003326204,10.1109/access.2020.2970576,117.799,253,0.5421,cps_security;manipulation;privacy
PHYSBENCH-REF-0003,물리적 위험 개입 실패 (Physical danger intervention failure),우발적 피해(Accidental Harm),1,13,A survey of uncertainty in deep neural networks,2023,paper,https://doi.org/10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,119.867,839,0.4462,perception;reliability
PHYSBENCH-REF-0003,물리적 위험 개입 실패 (Physical danger intervention failure),우발적 피해(Accidental Harm),1,12,Deep Learning for Safe Autonomous Driving: Current Challenges and Future Directions,2020,paper,https://openalex.org/W3112288498,10.1109/tits.2020.3032227,120.308,609,0.4453,perception;reliability
PHYSBENCH-REF-0007,물리적 상식 위반 (Commonsense physicality violation),우발적 피해(Accidental Harm),1,17,"Artificial intelligence, machine learning and deep learning in advanced robotics, a review",2023,paper,https://doi.org/10.1016/j.cogr.2023.04.001,10.1016/j.cogr.2023.04.001,117.6,1029,0.3201,manipulation
PHYSBENCH-REF-0007,물리적 상식 위반 (Commonsense physicality violation),우발적 피해(Accidental Harm),1,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.313,manipulation
PHYSBENCH-REF-0012,복합 물리적 제약 위반 (Compositional physical constraint violation),우발적 피해(Accidental Harm),1,62,Sliding mode control for trajectory tracking of nonholonomic wheeled mobile robots,1999,paper,https://openalex.org/W2127516259,10.1109/70.768190,106.616,633,0.3205,control_validation
PHYSBENCH-REF-0012,복합 물리적 제약 위반 (Compositional physical constraint violation),우발적 피해(Accidental Harm),1,36,"Artificial intelligence in the construction industry: A review of present status, opportunities and future challenges",2021,paper,https://doi.org/10.1016/j.jobe.2021.103299,10.1016/j.jobe.2021.103299,110.955,903,0.3145,control_validation
PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),우발적 피해(Accidental Harm),2,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.5318,control_validation;manipulation
PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),우발적 피해(Accidental Harm),2,81,Safe multi-agent reinforcement learning for multi-robot control,2023,paper,https://doi.org/10.1016/j.artint.2023.103905,10.1016/j.artint.2023.103905,103.866,120,0.4396,control_validation;manipulation
PHYSBENCH-REF-0035,제약 비용 과소평가 (Constraint-cost underestimation),우발적 피해(Accidental Harm),1,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3232,control_validation
PHYSBENCH-REF-0035,제약 비용 과소평가 (Constraint-cost underestimation),우발적 피해(Accidental Harm),1,36,"Artificial intelligence in the construction industry: A review of present status, opportunities and future challenges",2021,paper,https://doi.org/10.1016/j.jobe.2021.103299,10.1016/j.jobe.2021.103299,110.955,903,0.3152,control_validation
PHYSBENCH-REF-0039,물리적 상호작용 안전 공백 (Physical interaction safety control gap),우발적 피해(Accidental Harm),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.4278,agent_llm;hrc
PHYSBENCH-REF-0039,물리적 상호작용 안전 공백 (Physical interaction safety control gap),우발적 피해(Accidental Harm),1,3,Reviewing human-robot collaboration in manufacturing: Opportunities and challenges in the context of industry 5.0,2024,paper,https://doi.org/10.1016/j.rcim.2024.102937,10.1016/j.rcim.2024.102937,126.231,108,0.4116,agent_llm;hrc
PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),우발적 피해(Accidental Harm),2,53,A Comprehensive Analysis and Review of Artificial Intelligence in Anaesthesia,2023,paper,https://doi.org/10.7759/cureus.45038,10.7759/cureus.45038,107.938,28,0.7207,collision;control_validation;manipulation;privacy;reliability
PHYSBENCH-REF-0045,제약 모니터링 실패 (Constraint monitoring failure),우발적 피해(Accidental Harm),2,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.6641,collision;control_validation;manipulation;reliability
PHYSBENCH-REF-0048,위험 작업 계획 실패 (Hazardous task planning failure),우발적 피해(Accidental Harm),2,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.5525,agent_llm;control_validation;reliability
PHYSBENCH-REF-0048,위험 작업 계획 실패 (Hazardous task planning failure),우발적 피해(Accidental Harm),2,2,"Agentic AI: a comprehensive survey of architectures, applications, and future directions",2025,paper,https://doi.org/10.1007/s10462-025-11422-4,10.1007/s10462-025-11422-4,126.529,45,0.503,agent_llm;control_validation;reliability
PHYSBENCH-REF-0050,암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),우발적 피해(Accidental Harm),2,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.3201,agent_llm
PHYSBENCH-REF-0050,암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),우발적 피해(Accidental Harm),2,73,On the Opportunities and Risks of Foundation Models,2021,paper,http://arxiv.org/abs/2108.07258,10.48550/arxiv.2108.07258,104.6,2180,0.3098,agent_llm
PHYSBENCH-REF-0052,피지컬 AI 안전 인식 실패 (Embodied safety awareness failure),우발적 피해(Accidental Harm),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.5475,agent_llm;perception;reliability
PHYSBENCH-REF-0052,피지컬 AI 안전 인식 실패 (Embodied safety awareness failure),우발적 피해(Accidental Harm),1,191,DiffusionCLIP: Text-Guided Diffusion Models for Robust Image Manipulation,2022,paper,https://openalex.org/W4312740349,10.1109/cvpr52688.2022.00246,96.739,470,0.5437,agent_llm;perception;reliability
PHYSBENCH-REF-0054,안전-성능 균형 실패 (Safety-performance trade-off failure),우발적 피해(Accidental Harm),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.6634,collision;control_validation;manipulation;reliability
PHYSBENCH-REF-0054,안전-성능 균형 실패 (Safety-performance trade-off failure),우발적 피해(Accidental Harm),1,6,A Survey of Algorithms for Black-Box Safety Validation of Cyber-Physical Systems,2021,paper,https://www.jair.org/index.php/jair/article/view/12716,10.1613/JAIR.1.12716,124.883,106,0.6484,collision;control_validation;manipulation;reliability
PHYSBENCH-REF-0058,로봇 형태 전이 리스크 (Robot morphology transfer risk),우발적 피해(Accidental Harm),1,152,Force Tracking Impedance Control of Robot Manipulators Under Unknown Environment,2004,paper,https://openalex.org/W2169440744,10.1109/tcst.2004.824320,98.756,471,0.3252,manipulation
PHYSBENCH-REF-0058,로봇 형태 전이 리스크 (Robot morphology transfer risk),우발적 피해(Accidental Harm),1,17,"Artificial intelligence, machine learning and deep learning in advanced robotics, a review",2023,paper,https://doi.org/10.1016/j.cogr.2023.04.001,10.1016/j.cogr.2023.04.001,117.6,1029,0.323,manipulation
PHYSBENCH-REF-0064,인간 시연 전이 모호성 (Human demonstration transfer ambiguity),우발적 피해(Accidental Harm),1,36,"Artificial intelligence in the construction industry: A review of present status, opportunities and future challenges",2021,paper,https://doi.org/10.1016/j.jobe.2021.103299,10.1016/j.jobe.2021.103299,110.955,903,0.438,control_validation;hrc
PHYSBENCH-REF-0064,인간 시연 전이 모호성 (Human demonstration transfer ambiguity),우발적 피해(Accidental Harm),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.4317,control_validation;hrc
PHYSBENCH-REF-0070,휴머노이드 보상 과적합 위험 (Humanoid reward overfitting risk),우발적 피해(Accidental Harm),2,109,Proprioceptive Actuator Design in the MIT Cheetah: Impact Mitigation and High-Bandwidth Physical Interaction for Dynamic Legged Robots,2017,paper,https://openalex.org/W2573227850,10.1109/tro.2016.2640183,101.427,452,0.4313,humanoid;manipulation
PHYSBENCH-REF-0070,휴머노이드 보상 과적합 위험 (Humanoid reward overfitting risk),우발적 피해(Accidental Harm),2,86,A biomimetic elastomeric robot skin using electrical impedance and acoustic tomography for tactile sensing,2022,paper,https://openalex.org/W4282912956,10.1126/scirobotics.abm7187,103.172,249,0.4029,humanoid;manipulation
PHYSBENCH-REF-0071,휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),우발적 피해(Accidental Harm),1,55,Mobile Unmanned Aerial Vehicles (UAVs) for Energy-Efficient Internet of Things Communications,2017,paper,https://openalex.org/W2604830243,10.1109/twc.2017.2751045,107.5,1099,0.5503,digital_twin;reliability;trust_ethics
PHYSBENCH-REF-0071,휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),우발적 피해(Accidental Harm),1,47,Unsupervised Machine Learning-Based Detection of Covert Data Integrity Assault in Smart Grid Networks Utilizing Isolation Forest,2019,paper,https://openalex.org/W2918639172,10.1109/tifs.2019.2902822,108.905,273,0.5304,digital_twin;reliability;trust_ethics
PHYSBENCH-REF-0076,인간 모방 분포 이동 (Human-mimicking distribution shift),우발적 피해(Accidental Harm),1,109,Proprioceptive Actuator Design in the MIT Cheetah: Impact Mitigation and High-Bandwidth Physical Interaction for Dynamic Legged Robots,2017,paper,https://openalex.org/W2573227850,10.1109/tro.2016.2640183,101.427,452,0.5515,hrc;humanoid;manipulation
PHYSBENCH-REF-0076,인간 모방 분포 이동 (Human-mimicking distribution shift),우발적 피해(Accidental Harm),1,86,A biomimetic elastomeric robot skin using electrical impedance and acoustic tomography for tactile sensing,2022,paper,https://openalex.org/W4282912956,10.1126/scirobotics.abm7187,103.172,249,0.5286,hrc;humanoid;manipulation
PHYSBENCH-REF-0077,모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),우발적 피해(Accidental Harm),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.8088,collision;control_validation;hrc;manipulation;reliability
PHYSBENCH-REF-0077,모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),우발적 피해(Accidental Harm),1,109,Proprioceptive Actuator Design in the MIT Cheetah: Impact Mitigation and High-Bandwidth Physical Interaction for Dynamic Legged Robots,2017,paper,https://openalex.org/W2573227850,10.1109/tro.2016.2640183,101.427,452,0.8032,collision;hrc;humanoid;manipulation;reliability
PHYSBENCH-REF-0081,휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),우발적 피해(Accidental Harm),2,126,Sliding-Mode Tracking Control of Nonholonomic Wheeled Mobile Robots in Polar Coordinates,2004,paper,https://openalex.org/W2141429008,10.1109/tcst.2004.824953,100.229,389,0.5431,collision;digital_twin;humanoid
PHYSBENCH-REF-0081,휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),우발적 피해(Accidental Harm),2,117,Bilateral Teleoperation of Groups of Mobile Robots With Time-Varying Topology,2012,paper,https://openalex.org/W2071935905,10.1109/tro.2012.2196304,100.584,204,0.5083,collision;digital_twin;humanoid
PHYSBENCH-REF-0090,장기 예측 누적 오차 (Long-horizon rollout drift),우발적 피해(Accidental Harm),2,34,From high-touch to high-tech: COVID-19 drives robotics adoption,2020,paper,https://doi.org/10.1080/14616688.2020.1762118,10.1080/14616688.2020.1762118,111.277,577,0.3225,humanoid
PHYSBENCH-REF-0090,장기 예측 누적 오차 (Long-horizon rollout drift),우발적 피해(Accidental Harm),2,126,Sliding-Mode Tracking Control of Nonholonomic Wheeled Mobile Robots in Polar Coordinates,2004,paper,https://openalex.org/W2141429008,10.1109/tcst.2004.824953,100.229,389,0.3132,humanoid
PHYSRISK-REF-0019,장기 계획 오차 누적 (Long-horizon error accumulation),우발적 피해(Accidental Harm),1,13,A survey of uncertainty in deep neural networks,2023,paper,https://doi.org/10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,119.867,839,0.326,perception
PHYSRISK-REF-0019,장기 계획 오차 누적 (Long-horizon error accumulation),우발적 피해(Accidental Harm),1,12,Deep Learning for Safe Autonomous Driving: Current Challenges and Future Directions,2020,paper,https://openalex.org/W3112288498,10.1109/tits.2020.3032227,120.308,609,0.3245,perception
PHYSBENCH-REF-0040,기반 모델 고유의 리스크 (Foundation-model-specific robot risk),우발적 피해(Accidental Harm),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.4486,agent_llm;reliability
PHYSBENCH-REF-0040,기반 모델 고유의 리스크 (Foundation-model-specific robot risk),우발적 피해(Accidental Harm),1,191,DiffusionCLIP: Text-Guided Diffusion Models for Robust Image Manipulation,2022,paper,https://openalex.org/W4312740349,10.1109/cvpr52688.2022.00246,96.739,470,0.4198,agent_llm;reliability
PHYSBENCH-REF-0005,그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),로봇 제어 실패(Robot Control Failures),2,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.5507,collision;control_validation;manipulation
PHYSBENCH-REF-0005,그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),로봇 제어 실패(Robot Control Failures),2,6,A Survey of Algorithms for Black-Box Safety Validation of Cyber-Physical Systems,2021,paper,https://www.jair.org/index.php/jair/article/view/12716,10.1613/JAIR.1.12716,124.883,106,0.5114,collision;control_validation;manipulation
PHYSBENCH-REF-0006,재료 특성 제약 위반 (Material property constraint violation),로봇 제어 실패(Robot Control Failures),1,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3293,control_validation
PHYSBENCH-REF-0006,재료 특성 제약 위반 (Material property constraint violation),로봇 제어 실패(Robot Control Failures),1,36,"Artificial intelligence in the construction industry: A review of present status, opportunities and future challenges",2021,paper,https://doi.org/10.1016/j.jobe.2021.103299,10.1016/j.jobe.2021.103299,110.955,903,0.3222,control_validation
PHYSBENCH-REF-0008,열·온도 제약 위반 (Thermal constraint violation),로봇 제어 실패(Robot Control Failures),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.5494,control_validation;hrc;manipulation
PHYSBENCH-REF-0008,열·온도 제약 위반 (Thermal constraint violation),로봇 제어 실패(Robot Control Failures),1,137,Robotics and artificial intelligence in healthcare during COVID-19 pandemic: A systematic review,2021,paper,https://doi.org/10.1016/j.robot.2021.103902,10.1016/j.robot.2021.103902,99.732,104,0.4835,control_validation;hrc;manipulation
PHYSBENCH-REF-0009,기구학·도달 범위 제약 위반 (Kinematics and reach constraint violation),로봇 제어 실패(Robot Control Failures),1,62,Sliding mode control for trajectory tracking of nonholonomic wheeled mobile robots,1999,paper,https://openalex.org/W2127516259,10.1109/70.768190,106.616,633,0.5583,collision;control_validation;reliability
PHYSBENCH-REF-0009,기구학·도달 범위 제약 위반 (Kinematics and reach constraint violation),로봇 제어 실패(Robot Control Failures),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.5473,collision;control_validation;reliability
PHYSBENCH-REF-0010,다중 암 협조 제약 위반 (Multi-arm coordination constraint violation),로봇 제어 실패(Robot Control Failures),1,168,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,paper,https://doi.org/10.1002/aic.16489,10.1002/aic.16489,97.678,630,0.4345,control_validation;hrc
PHYSBENCH-REF-0010,다중 암 협조 제약 위반 (Multi-arm coordination constraint violation),로봇 제어 실패(Robot Control Failures),1,36,"Artificial intelligence in the construction industry: A review of present status, opportunities and future challenges",2021,paper,https://doi.org/10.1016/j.jobe.2021.103299,10.1016/j.jobe.2021.103299,110.955,903,0.4334,control_validation;hrc
PHYSBENCH-REF-0011,운용 프로토콜 위반 (Operational protocol violation),로봇 제어 실패(Robot Control Failures),1,36,"Artificial intelligence in the construction industry: A review of present status, opportunities and future challenges",2021,paper,https://doi.org/10.1016/j.jobe.2021.103299,10.1016/j.jobe.2021.103299,110.955,903,0.3348,control_validation
PHYSBENCH-REF-0011,운용 프로토콜 위반 (Operational protocol violation),로봇 제어 실패(Robot Control Failures),1,42,Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,2022,paper,https://doi.org/10.1146/annurev-control-042920-020211,10.1146/annurev-control-042920-020211,109.335,574,0.3294,control_validation
