source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error
,2024,Deep learning for unmanned aerial vehicles detection: A review,"As a new type of aerial robotics, drones are easy to use and
   inexpensive, which has facilitated their acquisition by individuals and
   organizations. This unequivocal and widespread presence of amateur
   drones may cause many dangers, such as privacy breaches by reaching
   sensitive locations of authorities and individuals. In this paper, we
   summarize the performance-affecting factors and major obstacles to drone
   use and provide a brief background of deep learning. Then, we summarize
   the types of UAVs and the related unethical behaviors, safety, privacy,
   and cybersecurity concerns. Then, we present a comprehensive literature
   review of current drone detection methods based on deep learning. This
   area of research has arisen in the last two decades because of the rapid
   advancement of commercial and recreational drones and their combined
   risk to the safety of airspace. Various deep learning algorithms and
   their frameworks with respect to the techniques used to detect drones
   and their areas of applications are also discussed. Drone detection
   techniques are classified into four categories: visual, radar,
   acoustics, and radio frequency-based approaches. The findings of this
   study prove that deep learning-based detection and classification of
   drones looks promising despite several challenges. Finally, we provide
   some recommendations to meet future expectations.",COMPUTER SCIENCE REVIEW,,Review,10.1016/j.cosrev.2023.100614,,,,"Al-lQubaydhi, Nader and Alenezi, Abdulrahman and Alanazi, Turki and
   Senyor, Abdulrahman and Alanezi, Naif and Alotaibi, Bandar and Alotaibi,
   Munif and Razaque, Abdul and Hariri, Salim",,117.0,WOS:001152289700001,,,paper,deep learning for unmanned aerial vehicles detection a review,10.1016/j.cosrev.2023.100614,https://doi.org/10.1016/j.cosrev.2023.100614,https://doi.org/10.1016/j.cosrev.2023.100614,221.79,citations=117; year=2024; risk_terms=6; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.cosrev.2023.100614,True,200,https://linkinghub.elsevier.com/retrieve/pii/S1574013723000813,text/html;charset=UTF-8,
,2024,Artificial Intelligence and Smart Technologies in Safety Management: A Comprehensive Analysis Across Multiple Industries,"The integration of Artificial Intelligence (AI) and smart technologies into safety management is a pivotal aspect of the Fourth Industrial Revolution or Industry 4.0. This study conducts a systematic literature review to identify and analyze how AI and smart technologies enhance safety management across various sectors within the Safety 4.0 paradigm. Focusing on peer-reviewed journal articles that explicitly mention “Smart”, “AI”, or “Artificial Intelligence” in their titles, the research examines key safety management factors, such as accident prevention, risk management, real-time monitoring, and ethical implementation, across sectors, including construction, industrial safety, disaster and public safety, transport and logistics, energy and power, health, smart home and living, and other diverse industries. AI-driven solutions, such as predictive analytics, machine learning algorithms, IoT sensor integration, and digital twin models, are shown to proactively identify and mitigate potential hazards, optimize energy consumption, and enhance operational efficiency. For instance, in the energy and power sector, intelligent gas meters and automated fire suppression systems manage gas-related risks effectively, while in the health sector, AI-powered health monitoring devices and mental health support applications improve patient and worker safety. The analysis reveals a significant trend towards shifting from reactive to proactive safety management, facilitated by the convergence of AI with IoT and Big Data analytics. Additionally, ethical considerations and data privacy emerge as critical challenges in the adoption of AI technologies. The study highlights the transformative role of AI in enhancing safety protocols, reducing accident rates, and improving overall safety outcomes across industries. It underscores the need for standardized protocols, robust AI governance frameworks, and interdisciplinary research to address existing challenges and maximize the benefits of AI in safety management. Future research directions include developing explainable AI models, enhancing human–AI collaboration, and fostering global standardization to ensure the responsible and effective implementation of AI-driven safety solutions.",Applied Sciences,Multidisciplinary Digital Publishing Institute,article,10.3390/app142411934,https://openalex.org/W4405642324,https://doi.org/10.3390/app142411934,,"['Jiyoung Park', 'Dongheon Kang']",Jiyoung Park,62.0,https://openalex.org/W4405642324,digital twin,AI Adoption,paper,artificial intelligence and smart technologies in safety management a comprehensive analysis across multiple industries,10.3390/app142411934,https://doi.org/10.3390/app142411934,https://doi.org/10.3390/app142411934,203.004,citations=62; year=2024; risk_terms=9; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app142411934,False,403,https://www.mdpi.com/2076-3417/14/24/11934,text/html,
,2021,Edge AI‐Based Automated Detection and Classification of Road Anomalies in VANET Using Deep Learning,"Road surface defects are crucial problems for safe and smooth traffic flow. Due to climate changes, low quality of construction material, large flow of traffic, and heavy vehicles, road surface anomalies are increasing rapidly. Detection and repairing of these defects are necessary for the safety of drivers, passengers, and vehicles from mechanical faults. In this modern era, autonomous vehicles are an active research area that controls itself with the help of in-vehicle sensors without human commands, especially after the emergence of deep learning (DNN) techniques. A combination of sensors and DNN techniques can be useful for unmanned vehicles for the perception of their surroundings for the detection of tracks and obstacles for smooth traveling based on the deployment of artificial intelligence in vehicles. One of the biggest challenges for autonomous vehicles is to avoid the critical road defects that may lead to dangerous situations. To solve the accident issues and share emergency information, the Intelligent Transportation System (ITS) introduced the concept of vehicular network termed as vehicular ad hoc network (VANET) for achieving security and safety in a traffic flow. A novel mechanism is proposed for the automatic detection of road anomalies by autonomous vehicles and providing road information to upcoming vehicles based on Edge AI and VANET. Road images captured via camera and deployment of the trained model for road anomaly detection in a vehicle could help to reduce the accident rate and risk of hazards on poor road conditions. The techniques Residual Convolutional Neural Network (ResNet-18) and Visual Geometry Group (VGG-11) are applied for the automatic detection and classification of the road with anomalies such as a pothole, bump, crack, and plain roads without anomalies using the dataset from different online sources. The results show that the applied models performed well than other techniques used for road anomalies identification.",Computational Intelligence and Neuroscience,Hindawi Publishing Corporation,article,10.1155/2021/6262194,https://openalex.org/W3204369957,https://doi.org/10.1155/2021/6262194,,"['Rozi Bibi', 'Yousaf Saeed', 'Asim Zeb', 'Taher M. Ghazal', 'Taj Rahman', 'Raed A. Said', 'Sagheer Abbas', 'Munir Ahmad', 'Muhammad Adnan Khan']",Rozi Bibi,238.0,https://openalex.org/W3204369957,autonomous system | autonomous systems | autonomous vehicle | autonomous vehicles | robot | robotic | robotics | unmanned,Autonomous Vehicles,paper,edge ai based automated detection and classification of road anomalies in vanet using deep learning,10.1155/2021/6262194,https://doi.org/10.1155/2021/6262194,https://doi.org/10.1155/2021/6262194,201.67,citations=238; year=2021; risk_terms=7; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1155/2021/6262194,False,403,https://onlinelibrary.wiley.com/doi/10.1155/2021/6262194,text/html; charset=UTF-8,
,2023,Explainable Artificial Intelligence (XAI) for Intrusion Detection and Mitigation in Intelligent Connected Vehicles: A Review,"The potential for an intelligent transportation system (ITS) has been made possible by the growth of the Internet of things (IoT) and artificial intelligence (AI), resulting in the integration of IoT and ITS—known as the Internet of vehicles (IoV). To achieve the goal of automatic driving and efficient mobility, IoV is now combined with modern communication technologies (such as 5G) to achieve intelligent connected vehicles (ICVs). However, IoV is challenged with security risks in the following five (5) domains: ICV security, intelligent device security, service platform security, V2X communication security, and data security. Numerous AI models have been developed to mitigate the impact of intrusion threats on ICVs. On the other hand, the rise in explainable AI (XAI) results from the requirement to inject confidence, transparency, and repeatability into the development of AI for the security of ICV and to provide a safe ITS. As a result, the scope of this review covered the XAI models used in ICV intrusion detection systems (IDSs), their taxonomies, and outstanding research problems. The results of the study show that XAI though in its infancy of application to ICV, is a promising research direction in the quest for improving the network efficiency of ICVs. The paper further reveals that XAI increased transparency will foster its acceptability in the automobile industry.",Applied Sciences,Multidisciplinary Digital Publishing Institute,review,10.3390/app13031252,https://openalex.org/W4317207036,https://doi.org/10.3390/app13031252,,"['Cosmas Ifeanyi Nwakanma', 'Love Allen Chijioke Ahakonye', 'Judith Nkechinyere Njoku', 'J. C. Odirichukwu', 'Stanley Adiele Okolie', 'Chinebuli Uzondu', 'Christiana Chidimma Ndubuisi Nweke', 'Dong‐Seong Kim']",Cosmas Ifeanyi Nwakanma,170.0,https://openalex.org/W4317207036,autonomous system | autonomous systems | autonomous vehicle | autonomous vehicles | robot | robotic | robotics,Autonomous Vehicles,paper,explainable artificial intelligence xai for intrusion detection and mitigation in intelligent connected vehicles a review,10.3390/app13031252,https://doi.org/10.3390/app13031252,https://doi.org/10.3390/app13031252,200.983,citations=170; year=2023; risk_terms=4; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.3390/app13031252,False,403,https://www.mdpi.com/2076-3417/13/3/1252,text/html,
,2023,"The fourth industrial revolution in the food industry-Part I: Industry
   4.0 technologies","Climate change, the growth in world population, high levels of food
   waste and food loss, and the risk of new disease or pandemic outbreaks
   are examples of the many challenges that threaten future food
   sustainability and the security of the planet and urgently need to be
   addressed. The fourth industrial revolution, or Industry 4.0, has been
   gaining momentum since 2015, being a significant driver for sustainable
   development and a successful catalyst to tackle critical global
   challenges. This review paper summarizes the most relevant food Industry
   4.0 technologies including, among others, digital technologies (e.g.,
   artificial intelligence, big data analytics, Internet of Things, and
   blockchain) and other technological advances (e.g., smart sensors,
   robotics, digital twins, and cyber-physical systems). Moreover, insights
   into the new food trends (such as 3D printed foods) that have emerged as
   a result of the Industry 4.0 technological revolution will also be
   discussed in Part II of this work. The Industry 4.0 technologies have
   significantly modified the food industry and led to substantial
   consequences for the environment, economics, and human health. Despite
   the importance of each of the technologies mentioned above,
   ground-breaking sustainable solutions could only emerge by combining
   many technologies simultaneously. The Food Industry 4.0 era has been
   characterized by new challenges, opportunities, and trends that have
   reshaped current strategies and prospects for food production and
   consumption patterns, paving the way for the move toward Industry 5.0.",CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,,Review,10.1080/10408398.2022.2034735,,,,"Hassoun, Abdo and Ait-Kaddour, Abderrahmane and Abu-Mahfouz, Adnan M.
   and Rathod, Nikheel Bhojraj and Bader, Farah and Barba, Francisco J. and
   Biancolillo, Alessandra and Cropotova, Janna and Galanakis, Charis M.
   and Jambrak, Anet Rezek and Lorenzo, Jose M. and Mage, Ingrid and
   Ozogul, Fatih and Regenstein, Joe",,233.0,WOS:000751592000001,,,paper,the fourth industrial revolution in the food industry part i industry 4 0 technologies,10.1080/10408398.2022.2034735,https://doi.org/10.1080/10408398.2022.2034735,https://doi.org/10.1080/10408398.2022.2034735,200.374,citations=233; year=2023; risk_terms=2; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1080/10408398.2022.2034735,False,403,https://www.tandfonline.com/doi/full/10.1080/10408398.2022.2034735,text/html; charset=UTF-8,
,2024,Fiberbots: Robotic fibers for high-precision minimally invasive surgery,"Precise manipulation of flexible surgical tools is crucial in minimally invasive surgical procedures, necessitating a miniature and flexible robotic probe that can precisely direct the surgical instruments. In this work, we developed a polymer-based robotic fiber with a thermal actuation mechanism by local heating along the sides of a single fiber. The fiber robot was fabricated by highly scalable fiber drawing technology using common low-cost materials. This low-profile (below 2 millimeters in diameter) robotic fiber exhibits remarkable motion precision (below 50 micrometers) and repeatability. We developed control algorithms coupling the robot with endoscopic instruments, demonstrating high-resolution in situ molecular and morphological tissue mapping. We assess its practicality and safety during in vivo laparoscopic surgery on a porcine model. High-precision motion of the fiber robot delivered endoscopically facilitates the effective use of cellular-level intraoperative tissue identification and ablation technologies, potentially enabling precise removal of cancer in challenging surgical sites.",Science Advances,American Association for the Advancement of Science,article,10.1126/sciadv.adj1984,https://openalex.org/W4391019279,https://doi.org/10.1126/sciadv.adj1984,,"['Mohamed E. M. K. Abdelaziz', 'Jinshi Zhao', 'Bruno M. G. Rosa', 'Hyun‐Taek Lee', 'Dániel Simon', 'K. Vyas', 'Bing Li', 'Hanifa Koguna', 'Y. Li', 'Ali Anıl Demirçalı', 'Hüseyin Üvet', 'Gülsüm Gençoğlan', 'Arzu Akçay', 'Mohamed Elriedy', 'James Kinross', 'Ranan Dasgupta', 'Zoltán Takáts', 'Eric M. Yeatman', 'Guang‐Zhong Yang', 'Burak Temelkuran']",Mohamed E. M. K. Abdelaziz,69.0,https://openalex.org/W4391019279,actuation | autonomous system | autonomous systems | manipulation | robot | robotic | robotics,Robotics,paper,fiberbots robotic fibers for high precision minimally invasive surgery,10.1126/sciadv.adj1984,https://doi.org/10.1126/sciadv.adj1984,https://doi.org/10.1126/sciadv.adj1984,199.479,citations=69; year=2024; risk_terms=2; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1126/sciadv.adj1984,True,200,https://www.science.org/doi/10.1126/sciadv.adj1984,text/html;charset=UTF-8,
,2022,"All-printed soft human-machine interface for robotic physicochemical
   sensing","Ultrasensitive multimodal physicochemical sensing for autonomous robotic
   decision-making has numerous applications in agriculture, security,
   environmental protection, and public health. Previously reported robotic
   sensing technologies have primarily focused on monitoring physical
   parameters such as pressure and temperature. Integrating chemical
   sensors for autonomous dry-phase analyte detection on a robotic platform
   is rather extremely challenging and substantially underdeveloped. Here,
   we introduce an artificial intelligence-powered multimodal robotic
   sensing system (M-Bot) with an all-printed mass-producible soft
   electronic skin-based human-machine interface. A scalable inkjet
   printing technology with custom-developed nanomaterial inks was used to
   manufacture flexible physicochemical sensor arrays for electrophysiology
   recording, tactile perception, and robotic sensing of a wide range of
   hazardous materials including nitroaromatic explosives, pesticides,
   nerve agents, and infectious pathogens such as SARS-CoV-2. The M-Bot
   decodes the surface electromyography signals collected from the human
   body through machine learning algorithms for remote robotic control and
   can perform in situ threat compound detection in extreme or contaminated
   environments with user-interactive tactile and threat alarm feedback.
   The printed electronic skin-based robotic sensing technology can be
   further generalized and applied to other remote sensing platforms. Such
   diversity was validated on an intelligent multimodal robotic boat
   platform that can efficiently track the source of trace amounts of
   hazardous compounds through autonomous and intelligent decision-making
   algorithms. This fully printed human-machine interactive multimodal
   sensing technology could play a crucial role in designing future
   intelligent robotic systems and can be easily reconfigured toward
   numerous practical wearable and robotic applications.",SCIENCE ROBOTICS,,Article,10.1126/scirobotics.abn0495,,,,"Yu, You and Li, Jiahong and Solomon, Samuel A. and Min, Jihong and Tu,
   Jiaobing and Guo, Wei and Xu, Changhao and Song, Yu and Gao, Wei",,328.0,WOS:000853410700002,,,paper,all printed soft human machine interface for robotic physicochemical sensing,10.1126/scirobotics.abn0495,https://doi.org/10.1126/scirobotics.abn0495,https://doi.org/10.1126/scirobotics.abn0495,198.145,citations=328; year=2022; risk_terms=2; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.abn0495,True,200,https://www.science.org/doi/10.1126/scirobotics.abn0495,text/html;charset=UTF-8,
,2024,Artificial intelligence and IoT driven technologies for environmental pollution monitoring and management,"Detecting hazardous substances in the environment is crucial for protecting human wellbeing and ecosystems. As technology continues to advance, artificial intelligence (AI) has emerged as a promising tool for creating sensors that can effectively detect and analyze these hazardous substances. The increasing advancements in information technology have led to a growing interest in utilizing this technology for environmental pollution detection. AI-driven sensor systems, AI and Internet of Things (IoT) can be efficiently used for environmental monitoring, such as those for detecting air pollutants, water contaminants, and soil toxins. With the increasing concerns about the detrimental impact of legacy and emerging hazardous substances on ecosystems and human health, it is necessary to develop advanced monitoring systems that can efficiently detect, analyze, and respond to potential risks. Therefore, this review aims to explore recent advancements in using AI, sensors and IOTs for environmental pollution monitoring, taking into account the complexities of predicting and tracking pollution changes due to the dynamic nature of the environment. Integrating machine learning (ML) methods has the potential to revolutionize environmental science, but it also poses challenges. Important considerations include balancing model performance and interpretability, understanding ML model requirements, selecting appropriate models, and addressing concerns related to data sharing. Through examining these issues, this study seeks to highlight the latest trends in leveraging AI and IOT for environmental pollution monitoring.",Frontiers in Environmental Science,Frontiers Media,article,10.3389/fenvs.2024.1336088,https://openalex.org/W4391968719,https://doi.org/10.3389/fenvs.2024.1336088,,"['Simona Mariana Popescu', 'Sheikh Mansoor', 'Owais Ali Wani', 'Shamal Shasang Kumar', 'Vikas Sharma', 'Arpita Sharma', 'Vivak M. Arya', 'M.B. Kirkham', 'Deyi Hou', 'Nanthi Bolan', 'Yong Suk Chung']",Simona Mariana Popescu,258.0,https://openalex.org/W4391968719,physical | sensor,,paper,artificial intelligence and iot driven technologies for environmental pollution monitoring and management,10.3389/fenvs.2024.1336088,https://doi.org/10.3389/fenvs.2024.1336088,https://doi.org/10.3389/fenvs.2024.1336088,197.796,citations=258; year=2024; risk_terms=2; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.3389/fenvs.2024.1336088,True,200,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2024.1336088/full,text/html;charset=utf-8,
,2024,Artificial Intelligence for Trusted Autonomous Satellite Operations,"Recent advances in Artificial Intelligence (AI) and Cyber-Physical
   Systems (CPS) for aerospace applications have brought about new
   opportunities for the fast-growing satellite industry. The progressive
   introduction of connected satellite systems and associated mission
   concepts is stimulating the development of intelligent CPS (iCPS)
   architectures, which can support high levels of flexibility and
   resilience in an increasingly congested near-Earth space environment.
   The need for higher levels of automation and autonomy in satellite
   operations has stimulated numerous research initiatives in recent years,
   focusing on the progressive enhancement of systemic performance (e.g.,
   addressing safety, integrity and cyber-physical security metrics) and
   associated monitoring/augmentation approaches that can support Trusted
   Autonomous Satellite Operations (TASO). Despite these advances, in most
   contemporary satellite platforms, autonomy is restricted to a specific
   set of rules and cases, while the transition to TASO requires a paradigm
   shift in the design of both space vehicles and ground-based systems. In
   particular, the use of AI is seen as an essential enabler for TASO as it
   enhances system performance/adaptability and supports both predictive
   and reactive integrity augmentation capabilities, especially in
   Distributed Satellite Systems (DSS). This article provides a critical
   review of AI for satellite operations, with a special focus on current
   and likely future DSS architectures for communication, navigation and
   remote sensing missions. The aim is to identify key contemporary
   challenges and opportunities associated with space iCPS design
   methodologies to enhance the performance and resilience of satellite
   systems, supporting the progressive transition to TASO. A comprehensive
   review of relevant AI techniques is presented to critically assess the
   potential benefits and challenges of each method for different space
   applications. After describing the specificities of DSS and the
   opportunities offered by iCPS architectures, the co-evolution of space
   and control (ground and on-board) segments is highlighted as an
   essential next step towards enabling TASO. As an integral part of this
   evolutionary approach, the most important legal and regulatory
   challenges associated with the adoption of AI in TASO are also
   discussed.",PROGRESS IN AEROSPACE SCIENCES,,Review,10.1016/j.paerosci.2023.100960,,,,"Thangavel, Kathiravan and Sabatini, Roberto and Gardi, Alessandro and
   Ranasinghe, Kavindu and Hilton, Samuel and Servidia, Pablo and Spiller,
   Dario",,57.0,WOS:001161543400001,,,paper,artificial intelligence for trusted autonomous satellite operations,10.1016/j.paerosci.2023.100960,https://doi.org/10.1016/j.paerosci.2023.100960,https://doi.org/10.1016/j.paerosci.2023.100960,196.846,citations=57; year=2024; risk_terms=4; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.paerosci.2023.100960,True,200,https://linkinghub.elsevier.com/retrieve/pii/S0376042123000763,text/html;charset=UTF-8,
,2019,XAI—Explainable artificial intelligence,"Explainability is essential for users to effectively understand, trust, and manage powerful artificial intelligence applications.",Science Robotics,American Association for the Advancement of Science,review,10.1126/scirobotics.aay7120,https://openalex.org/W2995523160,https://doi.org/10.1126/scirobotics.aay7120,,"['David Gunning', 'Mark Stefik', 'Jaesik Choi', 'Tim Miller', 'Simone Stumpf', 'Guang‐Zhong Yang']",David Gunning,1879.0,https://openalex.org/W2995523160,robot | robotic | robotics,,paper,xai explainable artificial intelligence,10.1126/scirobotics.aay7120,https://doi.org/10.1126/scirobotics.aay7120,https://doi.org/10.1126/scirobotics.aay7120,195.546,citations=1879; year=2019; risk_terms=2; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.aay7120,True,200,https://www.science.org/doi/10.1126/scirobotics.aay7120,text/html;charset=UTF-8,
