match_score,card_idx,card_badge,card_label,card_refs_before,overlap_tags,rank,source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error,skip_reason
1.424,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),4,collision;manipulation;navigation,128,,2025,"RoboBallet: Planning for multirobot reaching with graph neural networks
   and reinforcement learning","Modern robotic manufacturing requires collision-free coordination of
   multiple robots to complete numerous tasks in shared, obstacle-rich
   workspaces. Although individual tasks may be simple in isolation,
   automated joint task allocation, scheduling, and motion planning under
   spatiotemporal constraints remain computationally intractable for
   classical methods at real-world scales. Existing multiarm systems
   deployed in industry rely on human intuition and experience to design
   feasible trajectories manually in a labor-intensive process. To address
   this challenge, we propose a reinforcement learning (RL) framework to
   achieve automated task and motion planning, tested in an obstacle-rich
   environment with eight robots performing 40 reaching tasks in a shared
   workspace, where any robot can perform any task in any order. Our
   approach builds on a graph neural network (GNN) policy trained via RL on
   procedurally generated environments with diverse obstacle layouts, robot
   configurations, and task distributions. It uses a graph representation
   of scenes and a graph policy neural network trained through RL to
   generate trajectories of multiple robots, jointly solving the
   subproblems of task allocation, scheduling, and motion planning. Trained
   on large randomly generated task sets in simulation, our policy
   generalizes zero-shot to unseen settings with varying robot placements,
   obstacle geometries, and task poses. We further demonstrate that the
   high-speed capability of our solution enables its use in workcell layout
   optimization, improving solution times. The speed and scalability of our
   planner also open the door to capabilities such as fault-tolerant
   planning and online perception-based replanning, where rapid adaptation
   to dynamic task sets is required.",SCIENCE ROBOTICS,,Article,10.1126/scirobotics.ads1204,,,,"Lai, Matthew and Go, Keegan and Li, Zhibin and Kroger, Torsten and
   Schaal, Stefan and Allen, Kelsey and Scholz, Jonathan",,6.0,WOS:001562438300001,,,paper,roboballet planning for multirobot reaching with graph neural networks and reinforcement learning,10.1126/scirobotics.ads1204,https://doi.org/10.1126/scirobotics.ads1204,https://doi.org/10.1126/scirobotics.ads1204,162.243,citations=6; year=2025; risk_terms=2; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.ads1204,True,200.0,https://www.science.org/doi/10.1126/scirobotics.ads1204,text/html;charset=UTF-8,,card_reference_limit_5
1.398,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),4,collision;manipulation;navigation,47,,2023,Collision avoidance for autonomous ship using deep reinforcement learning and prior-knowledge-based approximate representation,"Reinforcement learning (RL) has shown superior performance in solving sequential decision problems. In recent years, RL is gradually being used to solve unmanned driving collision avoidance decision-making problems in complex scenarios. However, ships encounter many scenarios, and the differences in scenarios will seriously hinder the application of RL in collision avoidance at sea. Moreover, the iterative speed of trial-and-error learning for RL in multi-ship encounter scenarios is slow. To solve this problem, this study develops a novel intelligent collision avoidance algorithm based on approximate representation reinforcement learning (AR-RL) to realize the collision avoidance of maritime autonomous surface ships (MASS) in a continuous state space environment involving interactive learning capability like a crew in navigation situation. The new algorithm uses an approximate representation model to deal with the optimization of collision avoidance strategies in a dynamic target encounter situation. The model is combined with prior knowledge and International Regulations for Preventing Collisions at Sea (COLREGs) for optimal performance. This is followed by a design of an online solution to a value function approximation model based on gradient descent. This approach can solve the problem of large-scale collision avoidance policy learning in static-dynamic obstacles mixed environment. Finally, algorithm tests were constructed though two scenarios (i.e., the coastal static obstacle environment and the static-dynamic obstacles mixed environment) using Tianjin Port as an example and compared with multiple groups of algorithms. The results show that the algorithm can improve the large-scale learning efficiency of continuous state space of dynamic obstacle environment by approximate representation. At the same time, the MASS can efficiently and safely avoid obstacles enroute to reaching its target destination. It therefore makes significant contributions to ensuring safety at sea in a mixed traffic involving both manned and MASS in near future.",Frontiers in Marine Science,Frontiers Media,article,10.3389/fmars.2022.1084763,https://openalex.org/W4317388085,https://doi.org/10.3389/fmars.2022.1084763,,"['Chengbo Wang', 'Xinyu Zhang', 'Zaili Yang', 'Musa Bashir', 'Kwangil Lee']",Chengbo Wang,59.0,https://openalex.org/W4317388085,navigation | unmanned,Ship Motion and Trajectory Prediction,paper,collision avoidance for autonomous ship using deep reinforcement learning and prior knowledge based approximate representation,10.3389/fmars.2022.1084763,https://doi.org/10.3389/fmars.2022.1084763,https://doi.org/10.3389/fmars.2022.1084763,176.321,citations=59; year=2023; risk_terms=3; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.3389/fmars.2022.1084763,True,200.0,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2022.1084763/full,text/html;charset=utf-8,,card_reference_limit_5
1.398,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),4,collision;manipulation;navigation,91,,2023,"Integrated Task Sensing and Whole Body Control for Mobile Manipulation
   With Series Elastic Actuators","In this paper, an integrated framework consisting of the sensing,
   navigation and control is proposed for an autonomous mobile manipulator
   driven by series elastic actuators (SEAs) to preform mobile manipulation
   tasks in unknown environments. First, ORB-SLAM2 technique is combined
   into the environment sensing by extracting the ORB features, automatic
   initialization, repositioning and loop detection for real-time posture
   estimation. Then, the navigation function is designed for generating
   collision-free trajectory in an environment with obstacles. To realize
   kinematic and dynamic control of the mobile manipulator with the
   developed SEA joints, the whole body dynamics is considered and
   described. And to handle dynamic uncertainties and the SEA inherent
   saturation limits, a novel adaptive neural network control considering
   the whole body dynamics is proposed. Without knowing the exact
   parameters of the whole body model, the designed controller merely
   requires the position and velocity of the actuators and links, which can
   make the tracking errors converge to zero and keep all signals uniformly
   bounded in the closed-loop system. The performance and efficiency of the
   proposed method are verified by extensive experiments.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2022.3156127,,,,"Ren, Xiaoqian and Liu, Yueyue and Hu, Yingbai and Li, Zhijun",,28.0,WOS:000767853800001,,,paper,integrated task sensing and whole body control for mobile manipulation with series elastic actuators,10.1109/tase.2022.3156127,https://doi.org/10.1109/tase.2022.3156127,https://doi.org/10.1109/tase.2022.3156127,166.142,citations=28; year=2023; risk_terms=1; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2022.3156127,True,202.0,https://ieeexplore.ieee.org/document/9732182/,text/html; charset=UTF-8,,card_reference_limit_5
1.372,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),4,collision;manipulation;navigation,178,,2023,"Nexus of Deep Reinforcement Learning and Leader-Follower Approach for
   AIoT Enabled Aerial Networks","The Industrial Internet of Things (IIoT) is a new industrial 4.0
   paradigm that combines IoT, robotics, cyber-physical systems, and other
   future industrial advancements. Unmanned aerial vehicles (UAVs), part of
   the IIoT infrastructure, have a significant potential for civil and
   military purposes. Through the artificial intelligence of things (AIoT),
   a well-organized group of UAVs outperforms a single large UAV in terms
   of device scalability, maintenance, and expense. Therefore, the UAV
   swarm with industry 4.0 intelligence can be used for a wide range of
   24/7 security and remote monitoring applications. Though multi-UAV
   systems are beneficial, their application has many challenges. There is
   a high risk of collision in the multi-UAV system without coordination.
   This article proposes an AIoT-based navigation and formation control
   (AIoT-NFC) mechanism to scale down the collision risk by combining deep
   reinforcement learning (DRL) with the leader-follower approach. In
   AIoT-NFC, a deep deterministic policy gradient (DDPG) based algorithm is
   proposed to navigate UAVs in remote surveillance without colliding with
   obstacles and other UAVs. Furthermore, the AIoT-NFC system incorporates
   a fault tolerance mechanism that can handle the scenario of a leader's
   failure due to actuator malfunction. Experimental results show that the
   AIoT-NFC achieves faster convergence with a lower collision rate.
   AIoT-NFC reduced the collision rate by 14.99\% compared to existing
   navigation methods in successful formation without colliding with the
   other UAVs.",IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,Article,10.1109/TII.2022.3226529,,,,"Raja, Gunasekaran and Essaky, Selvam and Ganapathisubramaniyan,
   Aishwarya and Baskar, Yashvandh",,26.0,WOS:001030673600057,,,paper,nexus of deep reinforcement learning and leader follower approach for aiot enabled aerial networks,10.1109/tii.2022.3226529,https://doi.org/10.1109/tii.2022.3226529,https://doi.org/10.1109/tii.2022.3226529,158.142,citations=26; year=2023; risk_terms=5; physical_terms=7,https://doi.org/10.1109/tii.2022.3226529,True,202.0,https://ieeexplore.ieee.org/document/9969936/,text/html; charset=UTF-8,,card_reference_limit_5
1.291,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),4,collision;manipulation;navigation,83,,2025,"Memory-driven deep-reinforcement learning for autonomous robot
   navigation in partially observable environments","Service robots with autonomous navigational capabilities playa critical
   role in dynamic contexts where safe and collision-free human
   interactions are important. However, the unpredictable nature of human
   behavior, the prevalence of occlusions and the lack of complete
   environmental perception due to sensor limitations can severely restrict
   effective robot navigation. We propose a memory-driven algorithm that
   employs deep reinforcement learning to enable collision-free proactive
   navigation in partially observable environments. The proposed method
   takes the relative states of humans within a limited FoV and sensor
   range as input into the neural network. The model employs a
   bidirectional gated recurrent unit as a temporal function to
   strategically incorporate the previous context of input sequences and
   facilitate the assimilation of the observations. This approach allows
   the model to assign greater attention to intricate human-robot
   relations, allowing abetter understanding of the ever-changing dynamics
   within an environment. Simulations and experimental outcomes validate
   the efficacy of the policy-based navigation approach. It achieves
   superior collision avoidance performance compared to representative
   existing methods and exhibits efficient navigation by incorporating the
   limitations of sensors during training.",ENGINEERING SCIENCE AND TECHNOLOGY-AN INTERNATIONAL JOURNAL-JESTECH,,Article,10.1016/j.jestch.2024.101942,,,,"Montero, Estrella and Pico, Nabih and Ghergherehchi, Mitra and Song, Ho
   Seung",,10.0,WOS:001411072100001,,,paper,memory driven deep reinforcement learning for autonomous robot navigation in partially observable environments,10.1016/j.jestch.2024.101942,https://doi.org/10.1016/j.jestch.2024.101942,https://doi.org/10.1016/j.jestch.2024.101942,168.571,citations=10; year=2025; risk_terms=2; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.jestch.2024.101942,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S2215098624003288,text/html;charset=UTF-8,,card_reference_limit_5
1.28,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,47,,2023,Collision avoidance for autonomous ship using deep reinforcement learning and prior-knowledge-based approximate representation,"Reinforcement learning (RL) has shown superior performance in solving sequential decision problems. In recent years, RL is gradually being used to solve unmanned driving collision avoidance decision-making problems in complex scenarios. However, ships encounter many scenarios, and the differences in scenarios will seriously hinder the application of RL in collision avoidance at sea. Moreover, the iterative speed of trial-and-error learning for RL in multi-ship encounter scenarios is slow. To solve this problem, this study develops a novel intelligent collision avoidance algorithm based on approximate representation reinforcement learning (AR-RL) to realize the collision avoidance of maritime autonomous surface ships (MASS) in a continuous state space environment involving interactive learning capability like a crew in navigation situation. The new algorithm uses an approximate representation model to deal with the optimization of collision avoidance strategies in a dynamic target encounter situation. The model is combined with prior knowledge and International Regulations for Preventing Collisions at Sea (COLREGs) for optimal performance. This is followed by a design of an online solution to a value function approximation model based on gradient descent. This approach can solve the problem of large-scale collision avoidance policy learning in static-dynamic obstacles mixed environment. Finally, algorithm tests were constructed though two scenarios (i.e., the coastal static obstacle environment and the static-dynamic obstacles mixed environment) using Tianjin Port as an example and compared with multiple groups of algorithms. The results show that the algorithm can improve the large-scale learning efficiency of continuous state space of dynamic obstacle environment by approximate representation. At the same time, the MASS can efficiently and safely avoid obstacles enroute to reaching its target destination. It therefore makes significant contributions to ensuring safety at sea in a mixed traffic involving both manned and MASS in near future.",Frontiers in Marine Science,Frontiers Media,article,10.3389/fmars.2022.1084763,https://openalex.org/W4317388085,https://doi.org/10.3389/fmars.2022.1084763,,"['Chengbo Wang', 'Xinyu Zhang', 'Zaili Yang', 'Musa Bashir', 'Kwangil Lee']",Chengbo Wang,59.0,https://openalex.org/W4317388085,navigation | unmanned,Ship Motion and Trajectory Prediction,paper,collision avoidance for autonomous ship using deep reinforcement learning and prior knowledge based approximate representation,10.3389/fmars.2022.1084763,https://doi.org/10.3389/fmars.2022.1084763,https://doi.org/10.3389/fmars.2022.1084763,176.321,citations=59; year=2023; risk_terms=3; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.3389/fmars.2022.1084763,True,200.0,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2022.1084763/full,text/html;charset=utf-8,,card_reference_limit_5
1.264,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),4,collision;manipulation;navigation,66,,2024,"Toward Safe Distributed Multi-Robot Navigation Coupled With Variational
   Bayesian Model","Designing a safe and effective collision avoidance policy for multiple
   robots is essential in decentralized scenarios, where each robot is
   responsible for generating its own paths, to ensure their safe
   operation. Recently, the utilization of reinforcement learning to
   develop decentralized policies that enable multiple robots to move
   cooperatively and accomplish tasks has yielded positive outcomes.
   However, the presence of exploration unsafe actions during the
   reinforcement learning training process results in inadequate safety. We
   seek to enhance the safety of distributed multi-robot navigation
   policies and propose a new imitation learning framework based on the
   variational Bayesian model, which enables robots to learn safe actions
   by anticipating the subsequent state they are expected to reach. In
   addition, a new policy neural network structure for multi-robot
   navigation is proposed by introducing the transformer structure, which
   encodes the significance of nearby robots in relation to their
   forthcoming conditions. Experiments demonstrated that our policy can
   more safely guide robots to navigate in multi-robot environments under
   conditions of limited information, outperforming the state-of-the-art
   RL-RVO method in terms of success rate.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2023.3346049,,,,"Chen, Lin and Wang, Yaonan and Miao, Zhiqiang and Feng, Mingtao and
   Zhou, Zhen and Wang, Hesheng and Wang, Danwei",,19.0,WOS:001165504600001,,,paper,toward safe distributed multi robot navigation coupled with variational bayesian model,10.1109/tase.2023.3346049,https://doi.org/10.1109/tase.2023.3346049,https://doi.org/10.1109/tase.2023.3346049,171.94,citations=19; year=2024; risk_terms=3; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2023.3346049,True,202.0,https://ieeexplore.ieee.org/document/10374312/,text/html; charset=UTF-8,,card_reference_limit_5
1.23,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,46,,2025,"Behaviorally-Aware Multi-Agent RL With Dynamic Optimization for
   Autonomous Driving","This study presents a novel Multi-Agent Reinforcement Learning (MURL)
   architecture for autonomous vehicle (AV) navigation in complex urban
   traffic environments. By integrating a Social Value Orientation (SVO)
   model into a model-free SARSA reinforcement learning framework, our
   approach effectively balances individual agents' social preferences with
   safety and performance objectives. A logistic regression-based risk
   assessment module evaluates collision probabilities in real time by
   analyzing spatiotemporal dynamics such as distances and velocities.
   Additionally, a dynamic optimizer adapts the learning rate and
   exploration strategies of the SARSA algorithm to provide efficient
   convergence to optimal policies. Extensive simulation experiments
   demonstrate that the proposed method significantly enhances safety and
   efficiency, achieving a 55.6\% reduction in collision risk and
   increasing average rewards per episode by 2.1 compared to traditional
   SARSA without SVO. Furthermore, the optimized policy reduces average
   episode length, indicating the framework's effectiveness in providing
   robust decision-making and adaptability across various traffic
   scenarios. Note to Practitioners-The proposed framework in this paper is
   driven by the demand for comprehensive navigation systems in the rapidly
   evolving field of connected and autonomous vehicles (CAVs), especially
   within complex and unpredictable urban environments and mixed traffic
   scenarios. As AVs are getting more and more attention, the capacity to
   navigate effectively among many road users, including other AVs,
   pedestrians, and human-driven vehicles, is essential. Our framework
   builds upon the SARSA algorithm to produce an optimal policy for the AV
   and integrates a dynamic optimization method that represents the concept
   of risk as the inverse logistic of potential collisions. Distinctive to
   our proposed model is a finely-tuned Social Value Orientation (SVO) that
   captures the nuanced social dynamics between multiple autonomous agents,
   spanning a continuum from self-interested to entirely cooperative
   behaviors. This allows AVs to make decisions socially and cooperatively.
   This framework significantly influences the AV navigation sector by
   contributing to the development of secure, human-centric, and reliable
   transportation systems. Its multi-agent focus and the incorporation of
   dynamic optimization emphasize its potential to facilitate a network of
   AVs that interact with diverse road users, thus improving scalability.
   The robustness and adaptability of this machine learning-powered
   solution are crucial for navigating the varied scenarios that
   characterize urban driving, ensuring that AVs can adapt to changing
   conditions and make decisions that benefit all road users.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2025.3527327,,,,"Taghavifar, Hamid and Hu, Chuan and Wei, Chongfeng and Mohammadzadeh,
   Ardashir and Zhang, Chunwei",,13.0,WOS:001463995900036,,,paper,behaviorally aware multi agent rl with dynamic optimization for autonomous driving,10.1109/tase.2025.3527327,https://doi.org/10.1109/tase.2025.3527327,https://doi.org/10.1109/tase.2025.3527327,176.947,citations=13; year=2025; risk_terms=5; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2025.3527327,True,202.0,https://ieeexplore.ieee.org/document/10833800/,text/html; charset=UTF-8,,card_reference_limit_5
1.212,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),4,collision;manipulation;navigation,46,,2025,"Behaviorally-Aware Multi-Agent RL With Dynamic Optimization for
   Autonomous Driving","This study presents a novel Multi-Agent Reinforcement Learning (MURL)
   architecture for autonomous vehicle (AV) navigation in complex urban
   traffic environments. By integrating a Social Value Orientation (SVO)
   model into a model-free SARSA reinforcement learning framework, our
   approach effectively balances individual agents' social preferences with
   safety and performance objectives. A logistic regression-based risk
   assessment module evaluates collision probabilities in real time by
   analyzing spatiotemporal dynamics such as distances and velocities.
   Additionally, a dynamic optimizer adapts the learning rate and
   exploration strategies of the SARSA algorithm to provide efficient
   convergence to optimal policies. Extensive simulation experiments
   demonstrate that the proposed method significantly enhances safety and
   efficiency, achieving a 55.6\% reduction in collision risk and
   increasing average rewards per episode by 2.1 compared to traditional
   SARSA without SVO. Furthermore, the optimized policy reduces average
   episode length, indicating the framework's effectiveness in providing
   robust decision-making and adaptability across various traffic
   scenarios. Note to Practitioners-The proposed framework in this paper is
   driven by the demand for comprehensive navigation systems in the rapidly
   evolving field of connected and autonomous vehicles (CAVs), especially
   within complex and unpredictable urban environments and mixed traffic
   scenarios. As AVs are getting more and more attention, the capacity to
   navigate effectively among many road users, including other AVs,
   pedestrians, and human-driven vehicles, is essential. Our framework
   builds upon the SARSA algorithm to produce an optimal policy for the AV
   and integrates a dynamic optimization method that represents the concept
   of risk as the inverse logistic of potential collisions. Distinctive to
   our proposed model is a finely-tuned Social Value Orientation (SVO) that
   captures the nuanced social dynamics between multiple autonomous agents,
   spanning a continuum from self-interested to entirely cooperative
   behaviors. This allows AVs to make decisions socially and cooperatively.
   This framework significantly influences the AV navigation sector by
   contributing to the development of secure, human-centric, and reliable
   transportation systems. Its multi-agent focus and the incorporation of
   dynamic optimization emphasize its potential to facilitate a network of
   AVs that interact with diverse road users, thus improving scalability.
   The robustness and adaptability of this machine learning-powered
   solution are crucial for navigating the varied scenarios that
   characterize urban driving, ensuring that AVs can adapt to changing
   conditions and make decisions that benefit all road users.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2025.3527327,,,,"Taghavifar, Hamid and Hu, Chuan and Wei, Chongfeng and Mohammadzadeh,
   Ardashir and Zhang, Chunwei",,13.0,WOS:001463995900036,,,paper,behaviorally aware multi agent rl with dynamic optimization for autonomous driving,10.1109/tase.2025.3527327,https://doi.org/10.1109/tase.2025.3527327,https://doi.org/10.1109/tase.2025.3527327,176.947,citations=13; year=2025; risk_terms=5; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2025.3527327,True,202.0,https://ieeexplore.ieee.org/document/10833800/,text/html; charset=UTF-8,,card_reference_limit_5
1.171,54,PHYSBENCH-REF-0055,제어 장벽 함수 실패 (Control barrier function safety-filter failure),2,collision;uncertainty,16,,2024,"Adaptive Safety-Critical Control With Uncertainty Estimation for
   HumanRobot Collaboration","In advanced manufacturing, strict safety guarantees are required to
   allow humans and robots to work together in a shared workspace. One of
   the challenges in this application field is the variety and
   unpredictability of human behavior, leading to potential dangers for
   human coworkers. This paper presents a novel control framework by
   adopting safety-critical control and uncertainty estimation for
   human-robot collaboration. Additionally, to select the shortest path
   during collaboration, a novel quadratic penalty method is presented. The
   innovation of the proposed approach is that the proposed controller will
   prevent the robot from violating any safety constraints even in cases
   where humans move accidentally in a collaboration task. This is
   implemented by the combination of a time-varying integral barrier
   Lyapunov function (TVIBLF) and an adaptive exponential control barrier
   function (AECBF) to achieve a flexible mode switch between path tracking
   and collision avoidance with guaranteed closed-loop system stability.
   The performance of our approach is demonstrated in simulation studies on
   a 7-DOF robot manipulator. Additionally, a comparison between the tasks
   involving static and dynamic targets is provided.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2023.3320873,,,,"Zhang, Dianhao and Van, Mien and Mcllvanna, Stephen and Sun, Yuzhu and
   McLoone, Sean",,11.0,WOS:001340323100090,,,paper,adaptive safety critical control with uncertainty estimation for humanrobot collaboration,10.1109/tase.2023.3320873,https://doi.org/10.1109/tase.2023.3320873,https://doi.org/10.1109/tase.2023.3320873,184.789,citations=11; year=2024; risk_terms=5; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2023.3320873,True,202.0,https://ieeexplore.ieee.org/document/10281398/,text/html; charset=UTF-8,,one_new_ref_per_card_this_pass
